kind	owner	c_name	raku_name	julia_name	version	identity	c_signature	raku_signature	julia_signature	parameter_contract	threading	capability	notes
struct	-	VtSemiringDivisionVTable	SemiringDivisionVTable	VtSemiringDivisionVTable	-	-	-	-	-	-	not-applicable	layout	generated Julia and NativeCall layouts
struct	-	VtSemiringStarVTable	SemiringStarVTable	VtSemiringStarVTable	-	-	-	-	-	-	not-applicable	layout	generated Julia and NativeCall layouts
struct	-	VtSemiringNumericVTable	SemiringNumericVTable	VtSemiringNumericVTable	-	-	-	-	-	-	not-applicable	layout	generated Julia and NativeCall layouts
struct	-	VtSemiringPropertiesVTable	SemiringPropertiesVTable	VtSemiringPropertiesVTable	-	-	-	-	-	-	not-applicable	layout	generated Julia and NativeCall layouts
callback	typedef	VtDictionaryEntryReducer	VtDictionaryEntryReducer	@abi_cfunction_dictionary_entry_reducer	-	-	VtStatus (*VtDictionaryEntryReducer)( void* reducer_context, const VtDictionaryEntryBatchView* batch)	:(Pointer, Pointer --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{VtDictionaryEntryBatchView}}	reducer_context:input:borrowed,batch:input:borrowed	host-runtime-attached-calling-thread-only	dictionary-entry-reducer	generated Julia and NativeCall callback signature
operation	VtResourceVTable	retain	abi-cast-resource-retain	abi_call_resource_retain	1	-	void (*retain)(void* context)	:(Pointer)	Cvoid Tuple{Ptr{Cvoid},}	context:input:borrowed	caller-thread-synchronous	resource	generated Julia ccall wrapper and typed NativeCall cast
operation	VtResourceVTable	release	abi-cast-resource-release	abi_call_resource_release	1	-	void (*release)(void* context)	:(Pointer)	Cvoid Tuple{Ptr{Cvoid},}	context:input:consumed	caller-thread-synchronous	resource	generated Julia ccall wrapper and typed NativeCall cast
operation	VtResourceVTable	query_interface	abi-cast-resource-query-interface	abi_call_resource_query_interface	1	-	VtStatus (*query_interface)(void* context, const VtInterfaceId* interface_id, uint32_t minimum_version, const void** out_vtable)	:(Pointer, InterfaceId, uint32, Pointer is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtInterfaceId}, UInt32, Ptr{Ptr{Cvoid}}}	context:input:borrowed,interface_id:input:borrowed,minimum_version:input:borrowed,out_vtable:output:borrowed	caller-thread-synchronous	resource	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	snapshot	abi-cast-dictionary-snapshot	abi_call_dictionary_snapshot	1	vt.dictionary.v1	VtStatus (*snapshot)(void* context, VtResource* out_snapshot)	:(Pointer, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtResourceRaw}}	context:input:borrowed,out_snapshot:output:owned	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	root	abi-cast-dictionary-root	abi_call_dictionary_root	1	vt.dictionary.v1	VtStatus (*root)(void* context, uint64_t* out_node)	:(Pointer, uint64 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{UInt64}}	context:input:borrowed,out_node:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	len	abi-cast-dictionary-len	abi_call_dictionary_len	1	vt.dictionary.v1	VtStatus (*len)(void* context, size_t* out_len, uint8_t* out_known)	:(Pointer, size_t is rw, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{Csize_t}, Ref{UInt8}}	context:input:borrowed,out_len:output:borrowed,out_known:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	node_is_final	abi-cast-dictionary-node-is-final	abi_call_dictionary_node_is_final	1	vt.dictionary.v1	VtStatus (*node_is_final)(void* context, uint64_t node, uint8_t* out_is_final)	:(Pointer, uint64, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Ref{UInt8}}	context:input:borrowed,node:input:borrowed,out_is_final:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	node_value_u64	abi-cast-dictionary-node-value-u64	abi_call_dictionary_node_value_u64	1	vt.dictionary.v1	VtStatus (*node_value_u64)(void* context, uint64_t node, VtOptionalU64* out_value)	:(Pointer, uint64, OptionalU64 --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Ref{VtOptionalU64}}	context:input:borrowed,node:input:borrowed,out_value:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	node_transition	abi-cast-dictionary-node-transition	abi_call_dictionary_node_transition	1	vt.dictionary.v1	VtStatus (*node_transition)(void* context, uint64_t node, uint64_t label, uint64_t* out_child, uint8_t* out_found)	:(Pointer, uint64, uint64, uint64 is rw, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, UInt64, Ref{UInt64}, Ref{UInt8}}	context:input:borrowed,node:input:borrowed,label:input:borrowed,out_child:output:borrowed,out_found:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVTable	node_edges	abi-cast-dictionary-node-edges	abi_call_dictionary_node_edges	1	vt.dictionary.v1	VtStatus (*node_edges)(void* context, uint64_t node, size_t start, VtDictionaryEdge* out_edges, size_t capacity, size_t* out_written, size_t* out_total)	:(Pointer, uint64, size_t, Pointer, size_t, size_t is rw, size_t is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Csize_t, Ptr{VtDictionaryEdge}, Csize_t, Ref{Csize_t}, Ref{Csize_t}}	context:input:borrowed,node:input:borrowed,start:input:borrowed,out_edges:output:borrowed,capacity:input:borrowed,out_written:output:borrowed,out_total:output:borrowed	caller-thread-synchronous	dictionary	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryVisitVTable	node_visit	abi-cast-dictionary-visit-node-visit	abi_call_dictionary_visit_node_visit	1	vt.dict.visit.v1	VtStatus (*node_visit)(void* context, uint64_t node, size_t start, uint8_t* out_is_final, VtDictionaryEdge* out_edges, size_t capacity, size_t* out_written, size_t* out_total)	:(Pointer, uint64, size_t, uint8 is rw, Pointer, size_t, size_t is rw, size_t is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Csize_t, Ref{UInt8}, Ptr{VtDictionaryEdge}, Csize_t, Ref{Csize_t}, Ref{Csize_t}}	context:input:borrowed,node:input:borrowed,start:input:borrowed,out_is_final:output:borrowed,out_edges:output:borrowed,capacity:input:borrowed,out_written:output:borrowed,out_total:output:borrowed	caller-thread-synchronous	dictionary-visit	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryGraphVTable	graph	abi-cast-dictionary-graph-graph	abi_call_dictionary_graph_graph	1	vt.dict.graph.v1	VtStatus (*graph)(void* context, VtDictionaryGraphView* out_graph)	:(Pointer, DictionaryGraphView --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtDictionaryGraphView}}	context:input:borrowed,out_graph:output:borrowed	caller-thread-synchronous	dictionary-graph	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryGraphVTable	node_value_u64	abi-cast-dictionary-graph-node-value-u64	abi_call_dictionary_graph_node_value_u64	1	vt.dict.graph.v1	VtStatus (*node_value_u64)(void* context, uint64_t value_cursor, VtOptionalU64* out_value)	:(Pointer, uint64, OptionalU64 --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Ref{VtOptionalU64}}	context:input:borrowed,value_cursor:input:borrowed,out_value:output:borrowed	caller-thread-synchronous	dictionary-graph	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSnapshotIdentityVTable	identity	abi-cast-snapshot-identity-identity	abi_call_snapshot_identity_identity	1	vt.snapshot.id.1	VtStatus (*identity)(void* context, VtSnapshotIdentity* out_identity)	:(Pointer, SnapshotIdentity --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{SnapshotIdentity}}	context:input:borrowed,out_identity:output:borrowed	caller-thread-synchronous	snapshot-identity	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	open	abi-cast-dictionary-entries-open	abi_call_dictionary_entries_open	1	vt.dict.entry.v1	VtStatus (*open)(void* resource_context, VtDictionaryEntriesCursor* out_cursor, VtDictionaryEntriesInfo* out_info)	:(Pointer, RawDictionaryEntriesCursor, DictionaryEntriesInfo --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtDictionaryEntriesCursorRaw}, Ref{VtDictionaryEntriesInfo}}	resource_context:input:borrowed,out_cursor:output:owned,out_info:output:borrowed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	next_batch	abi-cast-dictionary-entries-next-batch	abi_call_dictionary_entries_next_batch	1	vt.dict.entry.v1	VtStatus (*next_batch)(VtDictionaryEntriesCursor* cursor, const VtDictionaryEntryBatchLimits* limits, VtDictionaryEntryBatchView* out_batch)	:(RawDictionaryEntriesCursor, BatchLimits, DictionaryEntryBatchView --> int32)	Cint Tuple{Ref{VtDictionaryEntriesCursorRaw}, Ref{BatchLimits}, Ref{VtDictionaryEntryBatchView}}	cursor:inout:borrowed,limits:input:borrowed,out_batch:output:borrowed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	release_batch	abi-cast-dictionary-entries-release-batch	abi_call_dictionary_entries_release_batch	1	vt.dict.entry.v1	VtStatus (*release_batch)(VtDictionaryEntriesCursor* cursor, uint64_t generation)	:(RawDictionaryEntriesCursor, uint64 --> int32)	Cint Tuple{Ref{VtDictionaryEntriesCursorRaw}, UInt64}	cursor:inout:borrowed,generation:input:borrowed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	reduce	abi-cast-dictionary-entries-reduce	abi_call_dictionary_entries_reduce	1	vt.dict.entry.v1	VtStatus (*reduce)(VtDictionaryEntriesCursor* cursor, const VtDictionaryEntryBatchLimits* limits, VtDictionaryEntryReducer reducer, void* reducer_context, size_t* out_count)	:(RawDictionaryEntriesCursor, BatchLimits, &callback (Pointer, Pointer --> int32), Pointer, size_t is rw --> int32)	Cint Tuple{Ref{VtDictionaryEntriesCursorRaw}, Ref{BatchLimits}, Ptr{Cvoid}, Ptr{Cvoid}, Ref{Csize_t}}	cursor:inout:borrowed,limits:input:borrowed,reducer:input:borrowed,reducer_context:input:borrowed,out_count:output:borrowed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	cancel	abi-cast-dictionary-entries-cancel	abi_call_dictionary_entries_cancel	1	vt.dict.entry.v1	VtStatus (*cancel)(VtDictionaryEntriesCursor* cursor)	:(RawDictionaryEntriesCursor --> int32)	Cint Tuple{Ref{VtDictionaryEntriesCursorRaw},}	cursor:inout:borrowed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtDictionaryEntriesVTable	close	abi-cast-dictionary-entries-close	abi_call_dictionary_entries_close	1	vt.dict.entry.v1	VtStatus (*close)(VtDictionaryEntriesCursor* cursor)	:(RawDictionaryEntriesCursor --> int32)	Cint Tuple{Ref{VtDictionaryEntriesCursorRaw},}	cursor:inout:consumed	caller-thread-synchronous	dictionary-entries	generated Julia ccall wrapper and typed NativeCall cast
operation	VtWfstVTable	snapshot	abi-cast-wfst-snapshot	abi_call_wfst_snapshot	1	vt.scalar-wfst.1	VtStatus (*snapshot)(void* context, VtResource* out_snapshot)	:(Pointer, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtResourceRaw}}	context:input:borrowed,out_snapshot:output:owned	caller-thread-synchronous	wfst	generated Julia ccall wrapper and typed NativeCall cast
operation	VtWfstVTable	start	abi-cast-wfst-start	abi_call_wfst_start	1	vt.scalar-wfst.1	VtStatus (*start)(void* context, uint64_t* out_state)	:(Pointer, uint64 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{UInt64}}	context:input:borrowed,out_state:output:borrowed	caller-thread-synchronous	wfst	generated Julia ccall wrapper and typed NativeCall cast
operation	VtWfstVTable	num_states	abi-cast-wfst-num-states	abi_call_wfst_num_states	1	vt.scalar-wfst.1	VtStatus (*num_states)(void* context, size_t* out_count, uint8_t* out_known)	:(Pointer, size_t is rw, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{Csize_t}, Ref{UInt8}}	context:input:borrowed,out_count:output:borrowed,out_known:output:borrowed	caller-thread-synchronous	wfst	generated Julia ccall wrapper and typed NativeCall cast
operation	VtWfstVTable	state_info	abi-cast-wfst-state-info	abi_call_wfst_state_info	1	vt.scalar-wfst.1	VtStatus (*state_info)(void* context, uint64_t state, uint8_t* out_valid, uint8_t* out_is_final, double* out_final_weight)	:(Pointer, uint64, uint8 is rw, uint8 is rw, num64 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Ref{UInt8}, Ref{UInt8}, Ref{Float64}}	context:input:borrowed,state:input:borrowed,out_valid:output:borrowed,out_is_final:output:borrowed,out_final_weight:output:borrowed	caller-thread-synchronous	wfst	generated Julia ccall wrapper and typed NativeCall cast
operation	VtWfstVTable	state_arcs	abi-cast-wfst-state-arcs	abi_call_wfst_state_arcs	1	vt.scalar-wfst.1	VtStatus (*state_arcs)(void* context, uint64_t state, size_t start, VtWfstArc* out_arcs, size_t capacity, size_t* out_written, size_t* out_total)	:(Pointer, uint64, size_t, Pointer, size_t, size_t is rw, size_t is rw --> int32)	Cint Tuple{Ptr{Cvoid}, UInt64, Csize_t, Ptr{VtWfstArc}, Csize_t, Ref{Csize_t}, Ref{Csize_t}}	context:input:borrowed,state:input:borrowed,start:input:borrowed,out_arcs:output:borrowed,capacity:input:borrowed,out_written:output:borrowed,out_total:output:borrowed	caller-thread-synchronous	wfst	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	join	abi-cast-lattice-join	abi_call_lattice_join	1	vt.lattice.val.1	VtStatus (*join)(void* context, const VtResource* other, VtResource* out_value)	:(Pointer, RawResource, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtResourceRaw}, Ref{VtResourceRaw}}	context:input:borrowed,other:input:borrowed,out_value:output:owned	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	meet	abi-cast-lattice-meet	abi_call_lattice_meet	1	vt.lattice.val.1	VtStatus (*meet)(void* context, const VtResource* other, VtResource* out_value)	:(Pointer, RawResource, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtResourceRaw}, Ref{VtResourceRaw}}	context:input:borrowed,other:input:borrowed,out_value:output:owned	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	equal	abi-cast-lattice-equal	abi_call_lattice_equal	1	vt.lattice.val.1	VtStatus (*equal)(void* context, const VtResource* other, uint8_t* out_equal)	:(Pointer, RawResource, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtResourceRaw}, Ref{UInt8}}	context:input:borrowed,other:input:borrowed,out_equal:output:borrowed	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	stable_bytes	abi-cast-lattice-stable-bytes	abi_call_lattice_stable_bytes	1	vt.lattice.val.1	VtStatus (*stable_bytes)(void* context, uint8_t* out_bytes, size_t capacity, size_t* out_written, size_t* out_required)	:(Pointer, Pointer, size_t, size_t is rw, size_t is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{UInt8}, Csize_t, Ref{Csize_t}, Ref{Csize_t}}	context:input:borrowed,out_bytes:output:borrowed,capacity:input:borrowed,out_written:output:borrowed,out_required:output:borrowed	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
